4:1|22:1,31:33,33:1,33:55,39:6,76:30,7:189
4:71|22:77,24:21,24:27,24:58,2:104,2:153,2:172,2:178,2:183,2:208,2:254,2:264,2:267,2:278,2:282,33:41,33:49,33:53,33:56,33:69,33:70,33:9,3:100,3:102,3:118,3:130,3:149,3:156,3:200,47:33,47:7,49:1,49:11,49:12,49:2,49:6,57:28,58:11,58:12,58:9,59:18,5:1,5:101,5:105,5:106,5:11,5:2,5:35,5:51,5:54,5:57,5:6,5:8,5:87,5:90,5:94,5:95,60:1,60:10,60:13,61:10,61:14,61:2,62:9,63:9,64:14,66:6,66:8,8:15,8:20,8:24,8:27,8:29,8:45,9:119,9:123,9:23,9:28,9:34,9:38
4:74|2:154,2:190,2:246,3:13,73:20,8:72,8:74,9:111
4:75|17:80,19:5,2:190,2:244,3:13,3:167,73:20,9:111
4:76|2:190,2:244,3:167,73:20,8:72,8:74,9:111,9:34
4:77|14:28,14:44,22:41,22:78,24:56,2:110,2:243,2:246,2:258,2:277,2:43,2:83,3:23,40:69,58:13,58:14,58:8,59:11,63:10,73:20,9:11,9:5
4:78|2:79,3:126,3:165,3:198,3:37,3:7,3:78,41:52,46:10,8:10
4:80|42:48
4:81|33:3,33:39,33:48
4:83|24:10,24:14,24:20,24:21,2:64
4:84|2:154,2:195,2:246,3:13,3:146
4:85|11:12,16:77,18:45,22:17,24:45,29:20,2:106,2:109,2:148,2:20,2:259,2:284,33:27,33:52,35:1,3:165,3:189,3:29,41:39,41:53,46:33,48:21,58:6,59:6,5:17,5:19,5:40,65:12,85:9,8:41,9:39
4:86|22:6,33:1,33:52,33:55,3:26,41:39,41:53,46:33,5:117,66:8,76:30
4:87|10:37,10:90,11:14,13:30,16:2,18:39,20:14,20:8,20:98,21:25,23:116,27:26,28:70,28:88,2:163,2:255,32:2,35:3,39:6,3:18,3:2,3:6,3:9,40:3,40:62,40:65,44:8,45:26,47:19,59:22,59:23,64:13,6:102,6:106,6:12,73:9,7:158,9:129,9:31
4:88|13:33,30:29,39:23,39:36,40:33,42:44,42:46
4:89|22:58,2:246,2:273,3:157,3:167,47:4,9:19
4:90|8:72
4:92|28:50,2:140,2:196,33:51,48:19,48:4,48:7,58:4,5:89,8:72
